//當代中文/Book 1/L01-I
陈月美[陳月美]	Chén Yuèměi	a woman from Vietnam
甜蜜[甜蜜]	tiánmì	(Vs) sweet
温柔[溫柔]	wēnróu	(Vs) tender
讯息[訊息]	xùnxí	(N) message
忌妒[忌妒]	jìdù	(Vst) to be jealous
安全感[安全感]	ānquángǎn	(N) the feeling of security (感 -gǎn, sense/feeling of)
吃醋[吃醋]	chīcù	(Vp-sep) to be jealous
吵架[吵架]	chǎojià	(V-sep) to quarrel, fight, argue
牵[牽]	qiān	(V) to hold
吻[吻]	wěn	(V) to kiss
劈腿[劈腿]	pītuǐ	(Vp-sep) to two-time
糟糕[糟糕]	zāogāo	(Ptc) oh no, how terrible, what bad luck!
何清源[何清源]	Hé Qīngyuán	a male college student
林荣华[林榮華]	Lín Rónghuá	a male college student
一见钟情[一見鍾情]	yíjiàn zhōngqíng	(Ph) love at first sight
一举一动[一舉一動]	yìjǔ yídòng	(Ph) every move
前一天[前一天]	qián yì tiān	(Ph) the day before
已读不回[已讀不回]	yǐdú bùhuí	(Ph) read without reply
//當代中文/Book 4/L08-I
王丽华[王麗華]	Wáng Lìhuá	a woman from Taiwan
鲁亚[魯亞]	Lǔ Yǎ	a man from Turkey
论文[論文]	lùnwén	(N) thesis, dissertation, scholarly article
反正[反正]	fǎnzhèng	(Adv) in any case
不只[不只]	bùzhǐ	(Adv) not only
哈[哈]	hā	(Ptc) ha
代替[代替]	dàitì	(V) to substitute, to be in place of
独自[獨自]	dúzì	(Adv) alone, by oneself
难免[難免]	nánmiǎn	(Adv) inevitably, hard to avoid
费用[費用]	fèiyòng	(N) costs, expense
观念[觀念]	guānniàn	(N) concept, notion
代[代]	dài	(N) generation
婚姻[婚姻]	hūnyīn	(N) marriage
束缚[束縛]	shùfú	(V) to be fettered by, bound by, shackled by
追求[追求]	zhuīqiú	(V) to pursue
倒是[倒是]	dàoshì	(Adv) on the other hand
推行[推行]	tuīxíng	(V) to promote
生育[生育]	shēngyù	(V/N) to have babies; reproduction, childbirth
补助[補助]	bǔzhù	(V/N) to subsidize; subsidy, allowance
老人[老人]	lǎorén	(N) old people, seniors
夫妇[夫婦]	fūfù	(N) husband and wife, couple (夫 -fū, man; 婦 -fù, woman)
独生子[獨生子]	dúshēngzǐ	(N) only child (male)
宠[寵]	chǒng	(Vst) to spoil (somebody)
职业[職業]	zhíyè	(N) occupation, profession
妇产科[婦產科]	fùchǎnkē	(N) obstetrics and gynecology, OB/GYN (婦 -fù, woman; 產 -chǎn, produce; 科 -kē, department)
失业[失業]	shīyè	(Vp) to lose one's job, to become unemployed
补习班[補習班]	bǔxíbān	(N) cram school (補習 bǔxí, supplement studies; 班 -bān, class)
不可思议[不可思議]	bùkě sīyì	(Ph) hard to comprehend, beyond logic, unbelievable
有话直说[有話直說]	yǒuhuà zhíshuō	(Ph) to be frank, don't hold anything back, spit it out
娃娃推车[娃娃推車]	wáwa tuīchē	(Ph) baby carriage
不足为奇[不足為奇]	bùzú wéiqí	(Ph) nothing strange, not surprising at all
远远[遠遠]	yuǎnyuǎn	(Ph) by far
传宗接代[傳宗接代]	chuánzōng jiēdài	(Ph) carry on the family line
无拘无束[無拘無束]	wújū wúshù	(Ph) carefree, free, do as one pleases
老一辈[老一輩]	lǎoyíbèi	(Ph) the older generation
一胎化政策[一胎化政策]	yìtāihuà zhèngcè	(Ph) One Child Policy
这下子[這下子]	zhèxiàzi	(Ph) as a consequence
//當代中文/Book 4/L08-II
已[已]	yǐ	(Adv) already (formal)
生育率[生育率]	shēngyùlǜ	(N) birth rate (率 -lǜ, rate)
离婚[離婚]	líhūn	(Vp-sep) to get divorced
年龄[年齡]	niánlíng	(N) age
较[較]	jiào	(Adv) comparatively more (formal)
使[使]	shǐ	(Vst) to cause
行业[行業]	hángyè	(N) businesses, walks of life
重大[重大]	zhòngdà	(Vs) enormous, heavy
幼稚园[幼稚園]	yòuzhìyuán	(N) kindergarten
招生[招生]	zhāoshēng	(Vi) to recruit students, find students
减班[減班]	jiǎnbān	(Vp-sep) to reduce enrollments
将[將]	jiāng	(Adv) will soon
少子化[少子化]	shǎozǐhuà	(Vp) low birth rate (少, few; 子, children; 化 -huà, -ize, suffix indicating tranformation)
连锁[連鎖]	liánsuǒ	(Vs-attr) chain, franchise
儿童[兒童]	értóng	(N) child(ren)
美语[美語]	Měiyǔ	(N) (American) English
倒闭[倒閉]	dǎobì	(Vp) to go out of business
何况[何況]	hékuàng	(Adv) much less, let alone
无法[無法]	wúfǎ	(Adv) to be unable to
未来[未來]	wèilái	(N) future
远景[遠景]	yuǎnjǐng	(N) future prospects
足够[足夠]	zúgòu	(Vs) enough
加入[加入]	jiārù	(V) to enter, join
老化[老化]	lǎohuà	(Vp) aging
针对[針對]	zhēnduì	(Prep) aimed at, directed at
项[項]	xiàng	(M) item
措施[措施]	cuòshī	(N) measure
减税[減稅]	jiǎnshuì	(V-sep) to reduce taxes, tax break
延长[延長]	yáncháng	(V) to extend, make longer
产假[產假]	chǎnjià	(N) maternity leave
托育[托育]	tuōyù	(N) childcare
胎[胎]	tāi	(N) embryo, birth, child
领[領]	lǐng	(V) to receive, withdraw (money)
元[元]	yuán	(N) dollar (or other currency)
成年[成年]	chéngnián	(Vp) to come to age, enter adulthood
除非[除非]	chúfēi	(Conj) unless
整体[整體]	zhěngtǐ	(N) overall
否则[否則]	fǒuzé	(Conj) otherwise
妇女[婦女]	fùnǚ	(N) woman
意愿[意願]	yìyuàn	(N) intention
祖父母[祖父母]	zǔfùmǔ	(N) paternal grandparents
孙女[孫女]	sūnnǚ	(N) granddaughter
重[重]	zhòng	(Vs) heavy
预算[預算]	yùsuàn	(N) budget
财政[財政]	cáizhèng	(N) finance
沉重[沉重]	chénzhòng	(Vs) heavy
有效[有效]	yǒuxiào	(Vs) effective
正[正]	zhèng	(Adv) during the process of
考验[考驗]	kǎoyàn	(V) to test out
智慧[智慧]	zhìhuì	(N) wisdom
之一[之一]	zhīyī	(Ph) one of
宁缺勿滥[寧缺勿濫]	níngquē wùlàn	(Ph) not settle for less than perfect
合不来[合不來]	hébùlái	(Ph) not get along
生儿育女[生兒育女]	shēng'ér yùnǚ	(Ph) to have and raise children
独善其身[獨善其身]	dúshàn qíshēn	(Ph) to look out only for oneself, be self-centered
停滞不前[停滯不前]	tíngzhì bùqián	(Ph) in stagnation
//當代中文/Book 4/L09-I
逐渐[逐漸]	zhújiàn	(Adv) gradually
据点[據點]	jùdiǎn	(N) base, stronghold
统治[統治]	tǒngzhì	(V) to rule, govern
景点[景點]	jǐngdiǎn	(N) scenic site
繁荣[繁榮]	fánróng	(Vs) prosperous
港口[港口]	gǎngkǒu	(N) harbor, port
据说[據說]	jùshuō	(V) it is said
鹿[鹿]	lù	(N) deer
鹿群[鹿群]	lùqún	(N) herd of deer (群 -qún, group, crowd)
形状[形狀]	xíngzhuàng	(N) shape
鹿角[鹿角]	lùjiǎo	(N) deer antlers
便[便]	biàn	(Adv) accordingly
称[稱]	chēng	(V) to call
动物园[動物園]	dòngwùyuán	(N) zoo
皮[皮]	pí	(N) skin, hides
杀[殺]	shā	(V) to kill
数量[數量]	shùliàng	(N) number, quantity
风光[風光]	fēngguāng	(N) glory
民宅[民宅]	mínzhái	(N) home, people's residence
蚵仔煎[蚵仔煎]	ézǐjiān	(N) oyster omelet
哦[哦]	ó	(Ptc) an interjection indicating concurrence accepting what has been presented
该[該]	gāi	(Vaux) should, ought to (formal)
兴盛[興盛]	xīngshèng	(Vs) flourishing
时期[時期]	shíqí	(N) period, age
独木舟[獨木舟]	dúmùzhōu	(N) canoe
为[為]	wéi	(Vst) as
载运[載運]	zàiyùn	(V) to transport
改名[改名]	gǎimíng	(V-sep) to legally change one's names
相似[相似]	xiāngsì	(Vs) similar
没落[沒落]	mòluò	(Vp) to decline, wane
依然[依然]	yīrán	(Adv) still
保留[保留]	bǎoliú	(V) to remain intact, preserve
鹿港[鹿港]	Lùgǎng	Lugang
艋舺[艋舺]	Měngjiǎ	Mengjia (Mangka)
淡水河[淡水河]	Dànshuǐ Hé	Tamsui River (河 -hé,river)
万华[萬華]	Wànhuá	Wanhua
台语[台語]	Táiyǔ	Taiwanese (a Southern Min dialect)
日语[日語]	Rìyǔ	Japanese (language)
家喻户晓[家喻戶曉]	jiāyù hùxiǎo	(Ph) widely known
满山遍野[滿山遍野]	mǎnshān biànyě	(Ph) all over the mountains and plains
古色古香[古色古香]	gǔsè gǔxiāng	(Ph) to have an antique air, quaint, classical in style
绿豆糕[綠豆糕]	lǜdòu gāo	(Ph) mung-bean cake
牛舌饼[牛舌餅]	niúshé bǐng	(Ph) ox-tongue biscuit
垂涎三尺[垂涎三尺]	chuíxián sānchǐ	(Ph) to salivate over, make one's mouth water
//當代中文/Book 4/L09-II
数目[數目]	shùmù	(N) amount, quantity
大约[大約]	dàyuē	(Adv) about, approximately
占[佔]	zhàn	(Vst) constitute (same as "占")
自从[自從]	zìcóng	(Prep) ever since
将近[將近]	jiāngjìn	(Adv) nearly, almost
往来[往來]	wǎnglái	(N) dealings, contact
思念[思念]	sīniàn	(Vst) to miss, think about, long for
通信[通信]	tōngxìn	(V-sep) to communicate, correspond by mail
毫无[毫無]	háowú	(Vst) none whatsoever
音讯[音訊]	yīnxùn	(N) news, information, message
远离[遠離]	yuǎnlí	(Vst) to have left far away from
妻子[妻子]	qīzi	(N) wife (literary)
永远[永遠]	yǒngyuǎn	(N) always, forever
开放[開放]	kāifàng	(Vp) to open to the public
探亲[探親]	tànqīn	(Vi) to visit relatives
亲人[親人]	qīnrén	(N) relatives, loved ones
打听[打聽]	dǎtīng	(V) to ask about, inquire
不禁[不禁]	bùjīn	(Adv) can't help but
泪[淚]	lèi	(N) tears
尚未[尚未]	shàngwèi	(Adv) not yet
出世[出世]	chūshì	(Vp) to be born
童年[童年]	tóngnián	(N) childhood
伤心[傷心]	shāngxīn	(Vs) sad
笔[筆]	bǐ	(M) sum (of money)
仍然[仍然]	réngrán	(Adv) still
原谅[原諒]	yuánliàng	(Vst) to forgive
尽[盡]	jìn	(V) to exhaust, do one's utmost
究竟[究竟]	jiùjìng	(Adv) after all, in the end, actually
内心[內心]	nèixīn	(N) in one's heart, heart of hearts, innermost being
创伤[創傷]	chuāngshāng	(N) trauma, scars
珍惜[珍惜]	zhēnxí	(Vst) to cherish, treasure
精华[精華]	jīnghuá	(Vs-attr) prime
逃难[逃難]	táonàn	(Vi) to flee from war, natural disaster etc.
实在[實在]	shízài	(Adv) truly, really
岁月[歲月]	suìyuè	(N) years, time
遭遇[遭遇]	zāoyù	(N/V) (unhappy) experiences, happenings; to encounter, to have met with
老兵[老兵]	lǎobīng	(N) old soldier, veteran
老张[老張]	Lǎo Zhāng	Lao Zhang, a nickname for someone whose surname is Zhang
文化大革命[文化大革命]	Wénhuà Dà Gémìng	Cultural Revolution (1966 ~ 1976)
落地生根[落地生根]	luòdì shēnggēn	(Ph) to set one's roots down
身强体壮[身強體壯]	shēnqiáng tǐzhuàng	(Ph) strong and healthy
离乡背井[離鄉背井]	líxiāng bèijǐng	(Ph) to leave one's hometown to become a stranger else where
飘洋过海[飄洋過海]	piāoyáng guòhǎi	(Ph) to sail across the sea
朝思暮想[朝思暮想]	zhāosī mùxiǎng	(Ph) to be amiss day and night
一辈子[一輩子]	yíbèizi	(Ph) one lifetime
恐惧不安[恐懼不安]	kǒngjù bù'ān	(Ph) scared and anxious, suffering from constant fear
刻骨铭心[刻骨銘心]	kègǔ míngxīn	(Ph) unforgettable, to be imprinted hard in one's mind
//當代中文/Book 4/L10-I
何建明[何建明]	Hé Jiànmíng	a male college graduate
应征[應徵]	yìngzhēng	(V) to apply for a job
配[配]	pèi	(V) to go with, match
领带[領帶]	lǐngdài	(N) tie
花[花]	huā	(Vs) fancy, flowery, garish
素色[素色]	sùsè	(N) plain (in color)
剩下[剩下]	shèngxià	(Vpt) to remain, left (over)
龙头[龍頭]	lóngtóu	(N) head, leader
起薪[起薪]	qǐxīn	(N) starting salary
福利[福利]	fúlì	(N) (work) benefits
具备[具備]	jùbèi	(Vst) to have in one's qualification
限制[限制]	xiànzhì	(N) restrictions
以上[以上]	yǐshàng	(N) above, over, more than
以下[以下]	yǐxià	(N) below, under, fewer than
相关[相關]	xiāngguān	(Vs) related, relevant
各位[各位]	gèwèi	(N) you (plural, formal)
应届[應屆]	yìngjiè	(Vs-attr) this year's, upcoming
毕业生[畢業生]	bìyèshēng	(N) graduate
大一[大一]	dàyī	(N) freshman, first-year university student (大二 sophomore, 大三 junior, 大四 senior)
企划部[企劃部]	qìhuàbù	(N) planning department (部 -bù, department)
营运[營運]	yíngyùn	(N) operations
知识[知識]	zhīshì	(N) knowledge
社长[社長]	shèzhǎng	(N) club president
联合[聯合]	liánhé	(Adv) jointly
音乐会[音樂會]	yīnyuèhuì	(N) concert
节目[節目]	jiémù	(N) program, show, event
好评[好評]	hǎopíng	(N) positive comments, praise
企划[企劃]	qìhuà	(V/N) to plan (used in business); a plan
领导[領導]	lǐngdǎo	(V) to lead
合作[合作]	hézuò	(Vi) to cooperate with, work with
似乎[似乎]	sìhū	(Adv) seem
关于[關於]	guānyú	(Prep) related to, regarding
磨练[磨練]	móliàn	(N/V) training, hone a skill; to train, hone, or to practice over time
优点[優點]	yōudiǎn	(N) strong point, forte
上司[上司]	shàngsī	(N) supervisor, boss
夸奖[誇獎]	kuājiǎng	(V) to praise, commend
周[週]	zhōu	(M) week
内[內]	nèi	(N) within
以[以]	yǐ	(Prep) to use (formal)
书面[書面]	shūmiàn	(N) in writing
通知[通知]	tōngzhī	(V/N) to notify; a notification
就…而言[就…而言]	jiù...éryán	(Ph) as far as...are concerned
新鲜人[新鮮人]	xīnxiānrén	(Ph) freshman, (here) a person, usually a college graduate, new or "fresh" to the workforce
面试官[面試官]	miànshì guān	(Ph) interviewing officer
自我介绍[自我介紹]	zìwǒ jièshào	(Ph) self-introduction
所学有限[所學有限]	suǒxué yǒuxiàn	(Ph) what has been learned is only rather limited
//當代中文/Book 4/L10-II
出国[出國]	chūguó	(V-sep) to go abroad
资金[資金]	zījīn	(N) capital, funds
厂商[廠商]	chǎngshāng	(N) manufacturer
例外[例外]	lìwài	(N) exception
关[關]	guān	(N) hurdle
接触[接觸]	jiēchù	(V) to come in contact with, to contact
青年[青年]	qīngnián	(N) young people, youth
贷款[貸款]	dàikuǎn	(N) loan
开店[開店]	kāidiàn	(V-sep) to open a store
料[料]	liào	(N) material, (here) a person not suited for...
损失[損失]	sǔnshī	(Vpt) to lose
勇气[勇氣]	yǒngqì	(N) courage
员工[員工]	yuángōng	(N) employee
求职[求職]	qiúzhí	(Vi) to seek employment
目标[目標]	mùbiāo	(N) target, (here) the most ideal job
初步[初步]	chūbù	(Vs-attr) preliminary, initial
技巧[技巧]	jìqiǎo	(N) tips
概念[概念]	gàiniàn	(N) concept, idea
挑[挑]	tiāo	(V) to select, pick
基本[基本]	jīběn	(Vs) basic
衬衫[襯衫]	chènshān	(N) button-up shirt
过程[過程]	guòchéng	(N) process
同班[同班]	tóngbān	(Ph) same class
是…的料[是…的料]	shì...de liào	(Ph) to be gifted in...
接下来[接下來]	jiēxiàlái	(Ph) and then, next
提不起（勇气）[提不起（勇氣）]	tíbùqǐ (yǒngqì)	(Ph) unable to raise...to a high level to pump up (enough courage)
养家活口[養家活口]	yǎngjiā huókǒu	(Ph) support one's family
来自[來自]	láizì	(Ph) from 來 + literary preposition 自 "from" = 從...來
熟读[熟讀]	shóudú	(Ph) to keep reading something until one remembers everything
考古题[考古題]	kǎogǔtí	(Ph) test items from previous years (題 -tí, for test items)
沙盘推演[沙盤推演]	shāpán tuīyǎn	(Ph) to rehearse; a dry run, a practice run
深蓝色[深藍色]	shēnlánsè	(Ph) dark blue
//當代中文/Book 4/L11-I
种族[種族]	zhǒngzú	(N) ethnic group, race
熔炉[熔爐]	rónglú	(N) melting pot, smelting furnace, crucible
偏偏[偏偏]	piānpiān	(Adv) deliberately, insist on
肯[肯]	kěn	(Vaux) be willing to
母语[母語]	mǔyǔ	(N) mother tongue
口音[口音]	kǒuyīn	(N) accent
适应[適應]	shìyìng	(V) to adapt to, get used to
了不起[了不起]	liǎobùqǐ	(Vs) terrific, amazing, really something
交流[交流]	jiāoliú	(Vi) to exchange, associate
志工[志工]	zhìgōng	(N) volunteer
县[縣]	xiàn	(N) county
市[市]	shì	(N) city
外籍[外籍]	wàijí	(Vs-attr) foreign national
配偶[配偶]	pèi'ǒu	(N) spouse
焦虑[焦慮]	jiāolǜ	(Vs) to be anxious
沟通[溝通]	gōutōng	(N) communication
障碍[障礙]	zhàng'ài	(N) obstacle, handicap
良好[良好]	liánghǎo	(Vs) positive
以往[以往]	yǐwǎng	(Adv) formerly, heretofore
面对[面對]	miànduì	(V) to face, confront
冲击[衝擊]	chōngjí	(N) impact
大众[大眾]	dàzhòng	(N) the public, the masses
难以[難以]	nányǐ	(Adv) to find it difficult to
认同[認同]	rèntóng	(V) to identify with, accept
跨国[跨國]	kuàguó	(Vs-attr) transnational
大量[大量]	dàliàng	(Adv) in large quantities
移入[移入]	yírù	(V) to immigrate (入, enter, into (formal))
忧虑[憂慮]	yōulǜ	(Vst) to worry
降低[降低]	jiàngdī	(V) to reduce, lower
素质[素質]	sùzhí	(N) quality
歧视[歧視]	qíshì	(Vst) to discriminate
子女[子女]	zǐnǚ	(N) children (from 兒子+女兒)
资产[資產]	zīchǎn	(N) asset, resource
应[應]	yīng	(Vaux) should, ought to (formal)
平等[平等]	píngděng	(N) equality
相互[相互]	xiānghù	(Adv) mutually, each other
外人[外人]	wàirén	(N) outsider
联络[聯絡]	liánluò	(V) to contact, to connect with
小明[小明]	Xiǎomíng	Xiaoming, a nickname
家长日[家長日]	jiāzhǎngrì	(Ph) parents' day
气人[氣人]	qìrén	(Ph) exasperating, annoying
照说[照說]	zhào shuō	(Ph) to keep on saying...
在…之余[在…之餘]	zài...zhīyú	(Ph) to do something at a time when not doing...
本地人[本地人]	běndì rén	(Ph) local people
自己人[自己人]	zìjǐrén	(Ph) one of us, one of our own, compatriots
哪里！哪里！[哪裡！哪裡！]	nǎlǐ nǎlǐ	(Ph) not at all, not a problem, you're welcome
//當代中文/Book 4/L11-II
渐渐[漸漸]	jiànjiàn	(Adv) gradually
曾[曾]	céng	(Adv) have been before, was once (formal)
尝试[嘗試]	chángshì	(V/N) to try (something new), attempt; an attempt
结构[結構]	jiégòu	(N) structure
产生[產生]	chǎnshēng	(Vp) to take place, produce
转变[轉變]	zhuǎnbiàn	(N) change, transformation
婴儿[嬰兒]	yīng'ér	(N) baby
双亲[雙親]	shuāngqīn	(N) both parents
本国[本國]	běnguó	(N) our country
国籍[國籍]	guójí	(N) nationality
大陆籍[大陸籍]	Dàlùjí	(N) from Mainland China, (lit. Mainland nationality) (籍 -jí, nationality)
其[其]	qí	(Det) his, her, its, their (formal)
比例[比例]	bǐlì	(N) ratio (percentage)
根本[根本]	gēnběn	(Vs) fundamental
可见[可見]	kějiàn	(Conj) it is obvious that, it is clearly seen that
现有[現有]	xiànyǒu	(Vs-attr) current, existing
分配[分配]	fēnpèi	(N/V) distribution; to distribute, allocate
顾虑[顧慮]	gùlǜ	(Vst) to be concerned about
学童[學童]	xuétóng	(N) school children
身心[身心]	shēnxīn	(N) physical and mental, mind and body
缺乏[缺乏]	quēfá	(Vst) to lack
课业[課業]	kèyè	(N) school work
指导[指導]	zhǐdǎo	(N/V) guidance; to give guidance to
辅导[輔導]	fǔdǎo	(V) to counsel
输[輸]	shū	(Vp) to lose out (opposite of win)
失去[失去]	shīqù	(Vp) to lose (an item), lack
然而[然而]	rán'ér	(Conj) but, on the other hand, however
观点[觀點]	guāndiǎn	(N) perspective
加速[加速]	jiāsù	(V) to accelerate
创下[創下]	chuàngxià	(Vpt) to set (a record)
纪录[紀錄]	jìlù	(N) record
明显[明顯]	míngxiǎn	(Vs) significant, obvious
下降[下降]	xiàjiàng	(Vp) to decrease
趋势[趨勢]	qūshì	(N) trend
高龄化[高齡化]	gāolínghuà	(Vp) for a population to become aged/geriatric
世代[世代]	shìdài	(N) generation
不足[不足]	bùzú	(Vs) insufficient, not adequate
持续[持續]	chíxù	(Vaux) to continue, to keep on
正视[正視]	zhèngshì	(V) to face squarely, pay due attention to
国语[國語]	Guóyǔ	Mandarin
客语[客語]	Kèyǔ	Hakka, a Chinese (Han) dialect
最多数[最多數]	zuìduōshù	(Ph) the greatest majority
总人数[總人數]	zǒng rénshù	(Ph) total population
起跑点[起跑點]	qǐpǎodiǎn	(Ph) starting line
新生儿[新生兒]	xīnshēng'ér	(Ph) a newborn baby
生产力[生產力]	shēngchǎn lì	(Ph) productivity
一较长短[一較長短]	yíjiào chángduǎn	(Ph) to compete, to compare against
//當代中文/Book 4/L12-I
王安康[王安康]	Wáng Ānkāng	Wang Ankang, male
张定能[張定能]	Zhāng Dìngnéng	Zhang Dingneng, male
美好[美好]	měihǎo	(Vs) wonderful, beautiful
当选[當選]	dāngxuǎn	(Vpt) to be elected to an office
无所谓[無所謂]	wúsuǒwèi	(Vs) I don't care; does not bother me
敏感[敏感]	mǐngǎn	(Vs) sensitive
化学[化學]	huàxué	(N) chemical, chemistry
添加物[添加物]	tiānjiāwù	(N) additives
残留[殘留]	cánliú	(N) residue
修改[修改]	xiūgǎi	(V) to amend
法规[法規]	fǎguī	(N) laws and regulations, statutes
安养[安養]	ānyǎng	(N) to care for, to provide nursing care to all people
河川[河川]	héchuān	(N) river and stream
脱离[脫離]	tuōlí	(Vpt) to separate oneself from, break away from
背景[背景]	bèijǐng	(N) background
领域[領域]	lǐngyù	(N) area (of study, etc.), (here) walk of life
竟然[竟然]	jìngrán	(Adv) unexpectedly, surprisingly
总统[總統]	zǒngtǒng	(N) president
保障[保障]	bǎozhàng	(N/V) security (e.g., job security), to guarantee
特权[特權]	tèquán	(N) special privileges
把持[把持]	bǎchí	(V) to control
监督[監督]	jiāndū	(V) to oversee, monitor, supervise
罢免[罷免]	bàmiǎn	(V) to recall, remove from office
权[權]	quán	(N) power, authority
廉能[廉能]	liánnéng	(Vs) clean and capable
富足[富足]	fùzú	(Vs) affluent, abundant
在乎[在乎]	zàihū	(Vst) to care about
生命[生命]	shēngmìng	(N) life
财产[財產]	cáichǎn	(N) property, assets
义工[義工]	yìgōng	(N) volunteer
选战[選戰]	xuǎnzhàn	(N) (election) campaign
承诺[承諾]	chéngnuò	(N/V) promise; to promise
带领[帶領]	dàilǐng	(V) to lead
力量[力量]	lìliàng	(N) power
摆脱[擺脫]	bǎituō	(V) to rid of
困境[困境]	kùnjìng	(N) dire situation, straits
房地产[房地產]	fángdìchǎn	(Ph) real estate
小自…大至…[小自…大至…]	xiǎo zì...dà zhì...	(Ph) from such trivialities to such major concerns (自, from (formal); 至, to (formal))
是否[是否]	shìfǒu	(Ph) whether or not
照理说[照理說]	zhào lǐ shuō	(Ph) normally
政治人物[政治人物]	zhèngzhì rénwù	(Ph) politicians
受苦[受苦]	shòu kǔ	(Ph) suffering
//當代中文/Book 4/L12-II
富裕[富裕]	fùyù	(Vs) rich, affluent
贪污[貪汙]	tānwū	(Vp) to graft, to demand
腐败[腐敗]	fǔbài	(Vs) corruption
政争[政爭]	zhèngzhēng	(N) political infighting
停滞[停滯]	tíngzhì	(Vp) to stagnate, stall
上升[上升]	shàngshēng	(Vp) to rise
信心[信心]	xìnxīn	(N) confidence
游民[遊民]	yóumín	(N) street people, the homeless
外界[外界]	wàijiè	(N) the outside world
悲惨[悲慘]	bēicǎn	(Vs) miserable, tragic
日子[日子]	rìzi	(N) days, life
如此[如此]	rúcǐ	(Adv) such, so
巨大[巨大]	jùdà	(Vs) enormous
无能[無能]	wúnéng	(Vs) incompetent
冷漠[冷漠]	lěngmò	(Vs) apathetic
学者[學者]	xuézhě	(N) scholars
阶层[階層]	jiēcéng	(N) class hierarchy (in society)
自然[自然]	zìrán	(Adv) naturally
阻止[阻止]	zǔzhǐ	(V) to prevent, block
遥远[遙遠]	yáoyuǎn	(Vs) remote
无论[無論]	wúlùn	(Conj) no matter, regardless
明明[明明]	míngmíng	(Adv) clearly, obviously
骯脏[骯髒]	āngzāng	(Vs) dirty
顾[顧]	gù	(V) to care about
自身[自身]	zìshēn	(N) one's own
政客[政客]	zhèngkè	(N) politico
纵容[縱容]	zòngróng	(V) to condone, tolerate
使得[使得]	shǐde	(Vst) to make, to cause
工厂[工廠]	gōngchǎng	(N) factory
密集[密集]	mìjí	(Vs) crowded with high density of
遭受[遭受]	zāoshòu	(Vst) to suffer from, be subjected to
困苦[困苦]	kùnkǔ	(Vs) distressed
老人年金[老人年金]	lǎorén niánjīn	annuity payment for senior citizens (provided by The National Pension Program in Taiwan)
无家可归[無家可歸]	wújiā kěguī	(Ph) homeless, no home to go back to
以…为…[以…為…]	yǐ...wéi...	(Ph) taking... as... (formal)
漠不关心[漠不關心]	mòbù guānxīn	(Ph) indifferent
发言权[發言權]	fāyán quán	(Ph) right to speak, (here) a voice (in politics, etc.)
影响力[影響力]	yǐngxiǎng lì	(Ph) influence
官商勾结[官商勾結]	guānshāng gōujié	(Ph) collusion between politicians and business people
贫富悬殊[貧富懸殊]	pínfù xuánshū	(Ph) a huge gap between the rich and the poor
息息相关[息息相關]	xíxí xiāngguān	(Ph) inextricably related to
//當代中文/Book 5/L01-I
言论[言論]	yánlùn	(N) speech, act of speaking
界线[界線]	jièxiàn	(N) boundaries, demarcation
脸书[臉書]	Liǎnshū	(N) Facebook
则[則]	zé	(M) measure for short, usually formal writings
留言[留言]	liúyán	(N) posted messages, comments
停止[停止]	tíngzhǐ	(Vp) to call off, cease
决策[決策]	juécè	(N) policy
无罪[無罪]	wúzuì	(Vs) not guilty
遭[遭]	zāo	(Ptc) agent marker in an adversative passive sentence
惨[慘]	cǎn	(Vs) devastated
反应[反應]	fǎnyìng	(N/V) reaction; to respond
发表[發表]	fābiǎo	(V) issue, publish (articles, news story), deliver (speeches)
司法[司法]	sīfǎ	(N) judicial
判决[判決]	pànjué	(N) judgement, sentencing (judicial)
无能[無能]	wúnéng	(Vs) incompetent, inept, weak
幸运[幸運]	xìngyùn	(Vs) lucky, fortunate
顾名思义[顧名思義]	gùmíng sīyì	(Id) as the name suggests/implies
接收[接收]	jiēshōu	(V) to receive
来源[來源]	láiyuán	(N) source
处罚[處罰]	chǔfá	(V) to punish
包容[包容]	bāoróng	(Vst) tolerant
不论[不論]	búlùn	(Conj) regardless of whether
展现[展現]	zhǎnxiàn	(V) to reveal, show
胡作非为[胡作非為]	húzuò fēiwéi	(Id) run amok, engage in lawless activities
一旦[一旦]	yídàn	(Conj) once, as soon as
工具[工具]	gōngjù	(N) tool, instrument
洗脑[洗腦]	xǐnǎo	(Vi) to brainwash
权益[權益]	quányì	(N) rights and interests
盲点[盲點]	mángdiǎn	(N) blind spot
立场[立場]	lìchǎng	(N) standpoint, perspective
平衡[平衡]	pínghéng	(N) balance
辩护[辯護]	biànhù	(Vi) to defend (legally)
无理取闹[無理取鬧]	wúlǐ qǔnào	(Id) act up, have tantrums, talk nonsense and cause trouble
指正[指正]	zhǐzhèng	(V) to point out mistakes, correct
一来一往[一來一往]	yìlái yìwǎng	(Id) amidst exchanges (of opinions)
真理[真理]	zhēnlǐ	(N) the truth
越辩越明[越辯越明]	yuèbiàn yuèmíng	(Id) the more s/t is debated, the clearer it becomes
共识[共識]	gòngshì	(N) consensus
乱象[亂象]	luànxiàng	(N) chaos, madness, disorder
攻击[攻擊]	gōngjí	(V) to attack
自杀[自殺]	zìshā	(Vp) to commit suicide
过于[過於]	guòyú	(Adv) too, overly
事实上[事實上]	shìshí shàng	(Ph) actually, in actual fact
仇恨[仇恨]	chóuhèn	(N) hatred, enmity, hostility
