ID	Traditional	Simplified	Pinyin	POS	Meaning	Audio	Variants	Tags
B4L03-I-05	指	指	zhǐ	Vst	to mean, to indicate	[sound:dangdai-B4L03-I-05.mp3]		
B4L03-I-06	划算	划算	huásuàn	Vs	cost effective, a good deal	[sound:dangdai-B4L03-I-06.mp3]		
B4L03-I-07	身材	身材	shēncái	N	figure, build, body (shape)	[sound:dangdai-B4L03-I-07.mp3]		
B4L03-I-08	模特兒	模特儿	mótèr	N	model	[sound:dangdai-B4L03-I-08.mp3]		
B4L03-I-09	不見得	不见得	bújiàndé	Adv	not necessarily	[sound:dangdai-B4L03-I-09.mp3]		
B4L03-I-10	仿冒品	仿冒品	fǎngmàopǐn	N	knock-off, counterfeit product (仿冒 fǎngmào, counterfeit; 品 -pǐn, product)	[sound:dangdai-B4L03-I-10.mp3]		
B4L03-I-11	瑕疵	瑕疵	xiácī	N	defect	[sound:dangdai-B4L03-I-11.mp3]		
B4L03-I-12	圖片	图片	túpiàn	N	picture	[sound:dangdai-B4L03-I-12.mp3]		
B4L03-I-13	落差	落差	luòchā	N	difference	[sound:dangdai-B4L03-I-13.mp3]		
B4L03-I-14	提供	提供	tígōng	V	to offer	[sound:dangdai-B4L03-I-14.mp3]		
B4L03-I-15	資訊	资讯	zīxùn	N	information	[sound:dangdai-B4L03-I-15.mp3]		
B4L03-I-16	疑問	疑问	yíwèn	N	question, doubt	[sound:dangdai-B4L03-I-16.mp3]		
B4L03-I-17	嘛	嘛	ma	Ptc	sentence particle, 'it is obvious that'	[sound:dangdai-B4L03-I-17.mp3]		
B4L03-I-18	慣	惯	guàn	Ptc	to get used to, accustomed to etc...	[sound:dangdai-B4L03-I-18.mp3]		
B4L03-I-19	瀏覽	浏览	liúlǎn	V	to browse, surf (the internet)	[sound:dangdai-B4L03-I-19.mp3]		
B4L03-I-20	後悔	后悔	hòuhuǐ	Vs	to regret, feel sorrowful about	[sound:dangdai-B4L03-I-20.mp3]		
B4L03-I-21	深夜	深夜	shēnyè	N	late at night, in the wee hours	[sound:dangdai-B4L03-I-21.mp3]		
B4L03-I-22	任何	任何	rènhé	Det	any	[sound:dangdai-B4L03-I-22.mp3]		
B4L03-I-23	駭客	骇客	hàikè	N	hacker	[sound:dangdai-B4L03-I-23.mp3]		
B4L03-I-24	盜用	盗用	dàoyòng	V	to hack, use illegitimately	[sound:dangdai-B4L03-I-24.mp3]		
B4L03-I-25	認證	认证	rènzhèng	V/N	to certify; certification	[sound:dangdai-B4L03-I-25.mp3]		
B4L03-I-26	銀髮族	银发族	yínfǎzú	N	senior citizens, seniors (銀 yín, silver; 髮 fǎ, hair)	[sound:dangdai-B4L03-I-26.mp3]		
B4L03-I-27	從前	从前	cóngqián	N	in the past, before, formerly	[sound:dangdai-B4L03-I-27.mp3]		
B4L03-I-28	通常	通常	tōngcháng	Adv	generally, as a rule	[sound:dangdai-B4L03-I-28.mp3]		
B4L03-I-29	取貨	取货	qǔhuò	V-sep	to pick up goods	[sound:dangdai-B4L03-I-29.mp3]		
B4L03-I-30	付款	付款	fùkuǎn	V-sep	to make payment	[sound:dangdai-B4L03-I-30.mp3]		
B4L03-I-31	雲端科技	云端科技	yúnduān kējì	Ph	cloud/internet technology	[sound:dangdai-B4L03-I-31.mp3]		
B4L03-I-32	宅經濟	宅经济	zháijīngjì	Ph	online economy	[sound:dangdai-B4L03-I-32.mp3]		
B4L03-I-33	用不慣	用不惯	yòngbúguàn	Ph	not used/accustomed to using, not comfortable with	[sound:dangdai-B4L03-I-33.mp3]		
B4L03-I-34	退換	退换	tuì huàn	Ph	to return, to exchange for something else	[sound:dangdai-B4L03-I-34.mp3]		
B4L03-I-35	信用卡	信用卡	xìnyòng kǎ	Ph	credit card	[sound:dangdai-B4L03-I-35.mp3]		
B4L03-II-01	縮短	缩短	suōduǎn	Vpt	to shorten	[sound:dangdai-B4L03-II-01.mp3]		
B4L03-II-02	人們	人们	rénmen	N	people in general	[sound:dangdai-B4L03-II-02.mp3]		
B4L03-II-03	距離	距离	jùlí	N	distance	[sound:dangdai-B4L03-II-03.mp3]		
B4L03-II-04	取代	取代	qǔdài	V	to replace	[sound:dangdai-B4L03-II-04.mp3]		
B4L03-II-05	信	信	xìn	N	letter, mail	[sound:dangdai-B4L03-II-05.mp3]		
B4L03-II-06	影集	影集	yǐngjí	N	(TV) series	[sound:dangdai-B4L03-II-06.mp3]		
B4L03-II-07	取得	取得	qǔdé	V	to obtain, access	[sound:dangdai-B4L03-II-07.mp3]		
B4L03-II-08	例如	例如	lìrú	Vst	for example	[sound:dangdai-B4L03-II-08.mp3]		
B4L03-II-09	民眾	民众	mínzhòng	N	the public, people in general	[sound:dangdai-B4L03-II-09.mp3]		
B4L03-II-10	高速公路	高速公路	gāosù gōnglù	N	highway, freeway	[sound:dangdai-B4L03-II-10.mp3]		
B4L03-II-11	前	前	qián	N	before (formal)	[sound:dangdai-B4L03-II-11.mp3]		
B4L03-II-12	查詢	查询	cháxún	V	to look up, check	[sound:dangdai-B4L03-II-12.mp3]		
B4L03-II-13	路況	路况	lùkuàng	N	road situation, traffic situation	[sound:dangdai-B4L03-II-13.mp3]		
B4L03-II-14	避開	避开	bìkāi	V	to avoid	[sound:dangdai-B4L03-II-14.mp3]		
B4L03-II-15	路段	路段	lùduàn	N	section of road	[sound:dangdai-B4L03-II-15.mp3]		
B4L03-II-16	若	若	ruò	Conj	if, supposing	[sound:dangdai-B4L03-II-16.mp3]		
B4L03-II-17	運用	运用	yùnyòng	V	to use, employ	[sound:dangdai-B4L03-II-17.mp3]		
B4L03-II-18	病歷	病历	bìnglì	N	medical records	[sound:dangdai-B4L03-II-18.mp3]		
B4L03-II-19	例子	例子	lìzi	N	example	[sound:dangdai-B4L03-II-19.mp3]		
B4L03-II-20	更加	更加	gèngjiā	Adv	even more	[sound:dangdai-B4L03-II-20.mp3]		
B4L03-II-21	原本	原本	yuánběn	Adv	originally	[sound:dangdai-B4L03-II-21.mp3]		
B4L03-II-22	忙碌	忙碌	mánglù	Vs	busy	[sound:dangdai-B4L03-II-22.mp3]		
B4L03-II-23	確實	确实	quèshí	Adv	indeed	[sound:dangdai-B4L03-II-23.mp3]		
B4L03-II-24	控制	控制	kòngzhì	V	to control	[sound:dangdai-B4L03-II-24.mp3]		
B4L03-II-25	表弟	表弟	biǎodì	N	cousin (younger male cousin from one's mother's side as well as from one's father's sisters)	[sound:dangdai-B4L03-II-25.mp3]		
B4L03-II-26	退步	退步	tuìbù	Vp	to regress, get worse, fall behind	[sound:dangdai-B4L03-II-26.mp3]		
B4L03-II-27	過度	过度	guòdù	Adv	overly, excessively	[sound:dangdai-B4L03-II-27.mp3]		
B4L03-II-28	與	与	yǔ	Conj	and (formal)	[sound:dangdai-B4L03-II-28.mp3]		
B4L03-II-29	生理	生理	shēnglǐ	N	physical health	[sound:dangdai-B4L03-II-29.mp3]		
B4L03-II-30	盯	盯	dīng	V	to stare	[sound:dangdai-B4L03-II-30.mp3]		
B4L03-II-31	螢幕	萤幕	yíngmù	N	screen, monitor	[sound:dangdai-B4L03-II-31.mp3]		
B4L03-II-32	疲倦	疲倦	píjuàn	Vs	tired, fatigued	[sound:dangdai-B4L03-II-32.mp3]		
B4L03-II-33	視力	视力	shìlì	N	vision, eyesight	[sound:dangdai-B4L03-II-33.mp3]		
B4L03-II-34	家長	家长	jiāzhǎng	N	parent	[sound:dangdai-B4L03-II-34.mp3]		
B4L03-II-35	此外	此外	cǐwài	Conj	in addition	[sound:dangdai-B4L03-II-35.mp3]		
B4L03-II-36	戶外	户外	hùwài	N	outdoor	[sound:dangdai-B4L03-II-36.mp3]		
B4L03-II-37	人類	人类	rénlèi	N	mankind, humans	[sound:dangdai-B4L03-II-37.mp3]		
B4L03-II-38	正面	正面	zhèngmiàn	Vs	positive	[sound:dangdai-B4L03-II-38.mp3]		
B4L03-II-39	同時	同时	tóngshí	Adv	at the same time	[sound:dangdai-B4L03-II-39.mp3]		
B4L03-II-40	負面	负面	fùmiàn	Vs	negative	[sound:dangdai-B4L03-II-40.mp3]		
B4L03-II-41	沉迷	沉迷	chénmí	Vs	to be obsessed with, wallow in	[sound:dangdai-B4L03-II-41.mp3]		
B4L03-II-42	無形中	无形中	wúxíng zhōng	Ph	imperceptibly	[sound:dangdai-B4L03-II-42.mp3]		
B4L03-II-43	遠距教學	远距教学	yuǎnjù jiāoxué	Ph	distance learning	[sound:dangdai-B4L03-II-43.mp3]		
B4L03-II-44	大吵大鬧	大吵大闹	dàchǎo dànào	Ph	to kick up a row, make a scene, scream bloody murder	[sound:dangdai-B4L03-II-44.mp3]		
B4L03-II-45	焦慮不安	焦虑不安	jiāolǜ bù'ān	Ph	to be anxious	[sound:dangdai-B4L03-II-45.mp3]		
B4L03-II-46	總而言之	总而言之	zǒng'ér yánzhī	Ph	in conclusion, to sum up, in short	[sound:dangdai-B4L03-II-46.mp3]		
B4L04-I-01	該	该	gāi	Vaux	should, ought to	[sound:dangdai-B4L04-I-01.mp3]		
B4L04-I-02	擺	摆	bǎi	V	to place, display	[sound:dangdai-B4L04-I-02.mp3]		
B4L04-I-03	總算	总算	zǒngsuàn	Adv	finally	[sound:dangdai-B4L04-I-03.mp3]		
B4L04-I-04	欸	欸	èi	Ptc	hey, calling attention	[sound:dangdai-B4L04-I-04.mp3]		
B4L04-I-05	呀	呀	yā	Ptc	particle indicating uncertainty	[sound:dangdai-B4L04-I-05.mp3]		
B4L04-I-06	衣櫥	衣橱	yīchú	N	closet	[sound:dangdai-B4L04-I-06.mp3]		
B4L04-I-07	梳妝台	梳妆台	shūzhuāngtái	N	dressing table	[sound:dangdai-B4L04-I-07.mp3]		
B4L04-I-08	位置	位置	wèizhì	N	position, location	[sound:dangdai-B4L04-I-08.mp3]		
B4L04-I-09	空間	空间	kōngjiān	N	space	[sound:dangdai-B4L04-I-09.mp3]		
B4L04-I-10	科學	科学	kēxué	N	science	[sound:dangdai-B4L04-I-10.mp3]		
B4L04-I-11	風水師	风水师	fēngshuǐshī	N	Feng Shui master, geomancer (風水 fēngshuǐ, Feng Shui; 師 -shī, master)	[sound:dangdai-B4L04-I-11.mp3]		
B4L04-I-12	在意	在意	zàiyì	Vs	to care about	[sound:dangdai-B4L04-I-12.mp3]		
B4L04-I-13	所謂	所谓	suǒwèi	V	so-called, what is known as	[sound:dangdai-B4L04-I-13.mp3]		
B4L04-I-14	角度	角度	jiǎodù	N	angle, perspective	[sound:dangdai-B4L04-I-14.mp3]		
B4L04-I-15	改造	改造	gǎizào	V	to transform, restructure	[sound:dangdai-B4L04-I-15.mp3]		
B4L04-I-16	學問	学问	xuéwèn	N	a branch of learning	[sound:dangdai-B4L04-I-16.mp3]		
B4L04-I-17	居住	居住	jūzhù	Vi	to live, reside	[sound:dangdai-B4L04-I-17.mp3]		
B4L04-I-18	日常	日常	rìcháng	Vs-attr	daily	[sound:dangdai-B4L04-I-18.mp3]		
B4L04-I-19	布置	布置	bùzhì	N/V	décor, layout, arrangement; to decorate, to arrange furniture	[sound:dangdai-B4L04-I-19.mp3]		
B4L04-I-20	凶猛	凶猛	xiōngměng	Vs	fierce, ferocious	[sound:dangdai-B4L04-I-20.mp3]		
B4L04-I-21	動物	动物	dòngwù	N	animal	[sound:dangdai-B4L04-I-21.mp3]		
B4L04-I-22	刀	刀	dāo	N	knife	[sound:dangdai-B4L04-I-22.mp3]		
B4L04-I-23	劍	剑	jiàn	N	sword	[sound:dangdai-B4L04-I-23.mp3]		
B4L04-I-24	脾氣	脾气	píqì	N	temper	[sound:dangdai-B4L04-I-24.mp3]		
B4L04-I-25	暴躁	暴躁	bàozào	Vs	cranky, irritable	[sound:dangdai-B4L04-I-25.mp3]		
B4L04-I-26	衝動	冲动	chōngdòng	Vs	impulsive, rash	[sound:dangdai-B4L04-I-26.mp3]		
B4L04-I-27	鏡子	镜子	jìngzi	N	mirror	[sound:dangdai-B4L04-I-27.mp3]		
B4L04-I-28	床腳	床脚	chuángjiǎo	N	foot of the bed	[sound:dangdai-B4L04-I-28.mp3]		
B4L04-I-29	光	光	guāng	Adv	alone, merely	[sound:dangdai-B4L04-I-29.mp3]		
B4L04-I-30	擺飾	摆饰	bǎishì	N	décor, ornaments	[sound:dangdai-B4L04-I-30.mp3]		
B4L04-I-31	老婆	老婆	lǎopó	N	wife	[sound:dangdai-B4L04-I-31.mp3]		
B4L04-I-32	把	把	bǎ	M	measure word for objects that can be grasped or objects with a handle, e.g., umbrella, knife	[sound:dangdai-B4L04-I-32.mp3]		
B4L04-I-33	欺負	欺负	qīfù	V	to pick on, bully, take advantage of	[sound:dangdai-B4L04-I-33.mp3]		
B4L04-I-34	風水學	风水学	Fēngshuǐxué		the study of Feng Shui, geomancy (學 -xué, study, -ology)	[sound:dangdai-B4L04-I-34.mp3]		Name
B4L04-I-35	正對門	正对门	zhèng duì mén	Ph	directly facing the door	[sound:dangdai-B4L04-I-35.mp3]		
B4L04-I-36	譬如說	譬如说	pìrú shuō	Ph	for example	[sound:dangdai-B4L04-I-36.mp3]		
B4L04-I-37	一口氣	一口气	yì kǒu qì	Ph	in one breath	[sound:dangdai-B4L04-I-37.mp3]		
B4L04-I-38	死定了	死定了	sǐdìngle	Ph	(You're) a dead man; You're toast	[sound:dangdai-B4L04-I-38.mp3]		
B4L04-II-01	地理	地理	dìlǐ	N	geography	[sound:dangdai-B4L04-II-01.mp3]		
B4L04-II-02	便利性	便利性	biànlìxìng	N	convenience (性 -xìng, property, suffix indicating that a term is a noun)	[sound:dangdai-B4L04-II-02.mp3]		
B4L04-II-03	周邊	周边	zhōubiān	N	surrounding, periphery	[sound:dangdai-B4L04-II-03.mp3]		
B4L04-II-04	住宅	住宅	zhùzhái	N	residence	[sound:dangdai-B4L04-II-04.mp3]		
B4L04-II-05	詞	词	cí	N	term, word	[sound:dangdai-B4L04-II-05.mp3]		
B4L04-II-06	西元	西元	Xīyuán	N	A.D.	[sound:dangdai-B4L04-II-06.mp3]		
B4L04-II-07	推翻	推翻	tuīfān	V	to repudiate, overturn	[sound:dangdai-B4L04-II-07.mp3]		
B4L04-II-08	心中	心中	xīnzhōng	N	in somebody's heart	[sound:dangdai-B4L04-II-08.mp3]		
B4L04-II-09	名言	名言	míngyán	N	well-known saying	[sound:dangdai-B4L04-II-09.mp3]		
B4L04-II-10	建造	建造	jiànzào	V	to build	[sound:dangdai-B4L04-II-10.mp3]		
B4L04-II-11	塑造	塑造	sùzào	V	to shape	[sound:dangdai-B4L04-II-11.mp3]		
B4L04-II-12	命運	命运	mìngyùn	N	fate, destiny	[sound:dangdai-B4L04-II-12.mp3]		
B4L04-II-13	本身	本身	běnshēn	N	itself, oneself	[sound:dangdai-B4L04-II-13.mp3]		
B4L04-II-14	地標	地标	dìbiāo	N	landmark	[sound:dangdai-B4L04-II-14.mp3]		
B4L04-II-15	參考	参考	cānkǎo	V/N	to make reference to; reference	[sound:dangdai-B4L04-II-15.mp3]		
B4L04-II-16	外觀	外观	wàiguān	N	exterior, appearance	[sound:dangdai-B4L04-II-16.mp3]		
B4L04-II-17	疊	叠	dié	V	to stack	[sound:dangdai-B4L04-II-17.mp3]		
B4L04-II-18	盆子	盆子	pénzi	N	basin	[sound:dangdai-B4L04-II-18.mp3]		
B4L04-II-19	斜	斜	xié	Vs	slanted, tilted	[sound:dangdai-B4L04-II-19.mp3]		
B4L04-II-20	牆面	墙面	qiángmiàn	N	wall face	[sound:dangdai-B4L04-II-20.mp3]		
B4L04-II-21	聚寶盆	聚宝盆	jùbǎopén	N	treasure basin, similar to a cornucopia but filled with treasure (聚 -jù, to gather; 寶 -bǎo, treasure; 盆 -pén, basin)	[sound:dangdai-B4L04-II-21.mp3]		
B4L04-II-22	角	角	jiǎo	N	corner	[sound:dangdai-B4L04-II-22.mp3]		
B4L04-II-23	龍	龙	lóng	N	dragon	[sound:dangdai-B4L04-II-23.mp3]		
B4L04-II-24	古	古	gǔ	Vs-attr	ancient (formal)	[sound:dangdai-B4L04-II-24.mp3]		
B4L04-II-25	錢幣	钱币	qiánbì	N	coins, currency	[sound:dangdai-B4L04-II-25.mp3]		
B4L04-II-26	屋頂	屋顶	wūdǐng	N	roof	[sound:dangdai-B4L04-II-26.mp3]		
B4L04-II-27	龜	龟	guī	N	turtle, tortoise	[sound:dangdai-B4L04-II-27.mp3]		
B4L04-II-28	招財	招财	zhāocái	Vi	to attract treasure	[sound:dangdai-B4L04-II-28.mp3]		
B4L04-II-29	側門	侧门	cèmén	N	side door, side gate	[sound:dangdai-B4L04-II-29.mp3]		
B4L04-II-30	遮雨棚	遮雨棚	zhēyǔpéng	N	canopy, awning	[sound:dangdai-B4L04-II-30.mp3]		
B4L04-II-31	如意	如意	rúyì	N	ruyi, scepter, s-shaped ornamental object that brings good luck	[sound:dangdai-B4L04-II-31.mp3]		
B4L04-II-32	設計	设计	shèjì	N/V	design; to design	[sound:dangdai-B4L04-II-32.mp3]		
B4L04-II-33	偶然	偶然	ǒurán	Vs	random, accidental, chancy	[sound:dangdai-B4L04-II-33.mp3]		
B4L04-II-34	晉代	晋代	Jìn Dài		Jin Dynasty	[sound:dangdai-B4L04-II-34.mp3]		Name
B4L04-II-35	郭璞	郭璞	Guō Pú		Guo Pu	[sound:dangdai-B4L04-II-35.mp3]		Name
B4L04-II-36	英國	英国	Yīngguó		the UK	[sound:dangdai-B4L04-II-36.mp3]		Name
B4L04-II-37	邱吉爾	丘吉尔	Qiūjí'ěr		Churchill	[sound:dangdai-B4L04-II-37.mp3]		Name
B4L04-II-38	信義路	信义路	Xìnyì Lù		Xinyi Road	[sound:dangdai-B4L04-II-38.mp3]		Name
B4L04-II-39	松智路	松智路	Sōngzhì Lù		Songzhi Road	[sound:dangdai-B4L04-II-39.mp3]		Name
B4L04-II-40	一命二運三風水	一命二运三风水	yímìng èryùn sānfēngshuǐ	Ph	Fate is most important. Luck is second. Feng Shui is third.	[sound:dangdai-B4L04-II-40.mp3]		
B4L04-II-41	加起來	加起来	jiāqǐlái	Ph	to add up, totalize	[sound:dangdai-B4L04-II-41.mp3]		
B4L04-II-42	咬錢龜	咬钱龟	yǎoqián guī	Ph	money-biting turtle	[sound:dangdai-B4L04-II-42.mp3]		
B4L04-II-43	十全十美	十全十美	shíquán shíměi	Ph	perfect, pinnacle of perfection	[sound:dangdai-B4L04-II-43.mp3]		
B4L05-I-01	夢	梦	mèng	N	dream	[sound:dangdai-B4L05-I-01.mp3]		
B4L05-I-02	排隊	排队	páiduì	V-sep	to line up, stand in queue	[sound:dangdai-B4L05-I-02.mp3]		
B4L05-I-03	校刊	校刊	xiàokān	N	school newspaper, school publications of all sorts	[sound:dangdai-B4L05-I-03.mp3]		
B4L05-I-04	採訪	采访	cǎifǎng	V	to interview	[sound:dangdai-B4L05-I-04.mp3]		
B4L05-I-05	校友	校友	xiàoyǒu	N	alumnus	[sound:dangdai-B4L05-I-05.mp3]		
B4L05-I-06	博士	博士	bóshì	N	doctorate, PhD	[sound:dangdai-B4L05-I-06.mp3]		
B4L05-I-07	學位	学位	xuéwèi	N	academic degree	[sound:dangdai-B4L05-I-07.mp3]		
B4L05-I-08	考	考	kǎo	V	to take a test	[sound:dangdai-B4L05-I-08.mp3]		
B4L05-I-09	司機	司机	sījī	N	driver, chauffeur	[sound:dangdai-B4L05-I-09.mp3]		
B4L05-I-10	學士	学士	xuéshì	N	bachelor's, college degree	[sound:dangdai-B4L05-I-10.mp3]		
B4L05-I-11	地攤	地摊	dìtān	N	street stall	[sound:dangdai-B4L05-I-11.mp3]		
B4L05-I-12	現象	现象	xiànxiàng	N	phenomenon	[sound:dangdai-B4L05-I-12.mp3]		
B4L05-I-13	稀奇	稀奇	xīqí	Vs	rare (and unique), singular	[sound:dangdai-B4L05-I-13.mp3]		
B4L05-I-14	搶	抢	qiǎng	V	to rob, mug	[sound:dangdai-B4L05-I-14.mp3]		
B4L05-I-15	批評	批评	pīpíng	V	to criticize	[sound:dangdai-B4L05-I-15.mp3]		
B4L05-I-16	浪費	浪费	làngfèi	Vst	to waste	[sound:dangdai-B4L05-I-16.mp3]		
B4L05-I-17	畢竟	毕竟	bìjìng	Adv	after all	[sound:dangdai-B4L05-I-17.mp3]		
B4L05-I-18	貢獻	贡献	gòngxiàn	V	to make contributions	[sound:dangdai-B4L05-I-18.mp3]		
B4L05-I-19	的確	的确	díquè	Adv	indeed	[sound:dangdai-B4L05-I-19.mp3]		
B4L05-I-20	盲目	盲目	mángmù	Adv	blindly	[sound:dangdai-B4L05-I-20.mp3]		
B4L05-I-21	升學	升学	shēngxué	Vi	to pursue further education	[sound:dangdai-B4L05-I-21.mp3]		
B4L05-I-22	逃避	逃避	táobì	V	to evade, escape	[sound:dangdai-B4L05-I-22.mp3]		
B4L05-I-23	就業	就业	jiùyè	N/Vi	employment; to get a job	[sound:dangdai-B4L05-I-23.mp3]		
B4L05-I-24	延後	延后	yánhòu	V	to postpone	[sound:dangdai-B4L05-I-24.mp3]		
B4L05-I-25	啃老族	啃老族	kěnlǎozú	N	"a ""sponge"", a ""parasite"", somebody who feeds off the old (啃老 kěnlǎo, live off one's parents, lit. gnaw on the old)"	[sound:dangdai-B4L05-I-25.mp3]		
B4L05-I-26	收攤	收摊	shōutān	V-sep	to close up shop (said of street stalls)	[sound:dangdai-B4L05-I-26.mp3]		
B4L05-I-27	清潔隊員	清洁队员	qīngjié duìyuán	Ph	cleaning squad, street cleaners (清潔 qīngjié, to clean; 隊員 -duìyuán, team member)	[sound:dangdai-B4L05-I-27.mp3]		
B4L05-I-28	擺地攤	摆地摊	bǎi dìtān	Ph	to have a street stall	[sound:dangdai-B4L05-I-28.mp3]		
B4L05-I-29	大多數	大多数	dàduōshù	Ph	most, the majority of	[sound:dangdai-B4L05-I-29.mp3]		
B4L05-I-30	話說回來	话说回来	huàshuō huílái	Ph	on the other hand, however	[sound:dangdai-B4L05-I-30.mp3]		
B4L05-I-31	自食其力	自食其力	zìshí qílì	Ph	to rely on yourself, to stand on your own two feet	[sound:dangdai-B4L05-I-31.mp3]		
B4L05-I-32	下一期	下一期	xiàyìqí	Ph	next issue (of a periodical)	[sound:dangdai-B4L05-I-32.mp3]		
B4L05-II-01	段	段	duàn	M	a period of (time)	[sound:dangdai-B4L05-II-01.mp3]		
B4L05-II-02	物價	物价	wùjià	N	prices, commodity prices	[sound:dangdai-B4L05-II-02.mp3]		
B4L05-II-03	上漲	上涨	shàngzhǎng	Vp	to rise (of prices)	[sound:dangdai-B4L05-II-03.mp3]		
B4L05-II-04	所得	所得	suǒdé	N	income	[sound:dangdai-B4L05-II-04.mp3]		
B4L05-II-05	漲	涨	zhǎng	Vp	to rise (as of prices and water level)	[sound:dangdai-B4L05-II-05.mp3]		
B4L05-II-06	勉強	勉强	miǎnqiǎng	Adv	barely, with great reluctance	[sound:dangdai-B4L05-II-06.mp3]		
B4L05-II-07	根本	根本	gēnběn	Adv	at all, in the slightest	[sound:dangdai-B4L05-II-07.mp3]		
B4L05-II-08	組織	组织	zǔzhī	N	organization	[sound:dangdai-B4L05-II-08.mp3]		
B4L05-II-09	抗議	抗议	kàngyì	V	to protest against	[sound:dangdai-B4L05-II-09.mp3]		
B4L05-II-10	地價	地价	dìjià	N	land prices	[sound:dangdai-B4L05-II-10.mp3]		
B4L05-II-11	房價	房价	fángjià	N	housing prices	[sound:dangdai-B4L05-II-11.mp3]		
B4L05-II-12	高漲	高涨	gāozhǎng	Vs	to (upward) surge	[sound:dangdai-B4L05-II-12.mp3]		
B4L05-II-13	造成	造成	zàochéng	Vpt	to cause, produce, make	[sound:dangdai-B4L05-II-13.mp3]		
B4L05-II-14	統計	统计	tǒngjì	N	statistics	[sound:dangdai-B4L05-II-14.mp3]		
B4L05-II-15	窮忙	穷忙	qióngmáng	Vs	busy doing things without achieving anything	[sound:dangdai-B4L05-II-15.mp3]		
B4L05-II-16	全球	全球	quánqiú	N	global, worldwide	[sound:dangdai-B4L05-II-16.mp3]		
B4L05-II-17	景氣	景气	jǐngqì	Vs	prosperous, booming, economic conditions	[sound:dangdai-B4L05-II-17.mp3]		
B4L05-II-18	施行	施行	shīxíng	V	to implement, put into effect	[sound:dangdai-B4L05-II-18.mp3]		
B4L05-II-19	薪資	薪资	xīnzī	N	pay, salary, wages	[sound:dangdai-B4L05-II-19.mp3]		
B4L05-II-20	多年	多年	duōnián	N	for many years, for so long	[sound:dangdai-B4L05-II-20.mp3]		
B4L05-II-21	未	未	wèi	Adv	not yet (formal)	[sound:dangdai-B4L05-II-21.mp3]		
B4L05-II-22	調高	调高	tiáogāo	V	to adjust upward	[sound:dangdai-B4L05-II-22.mp3]		
B4L05-II-23	裁員	裁员	cáiyuán	Vi	to lay off	[sound:dangdai-B4L05-II-23.mp3]		
B4L05-II-24	觀察	观察	guānchá	V	to observe, note	[sound:dangdai-B4L05-II-24.mp3]		
B4L05-II-25	彩券	彩券	cǎiquàn	N	lottery	[sound:dangdai-B4L05-II-25.mp3]		
B4L05-II-26	中獎	中奖	zhòngjiǎng	Vp-sep	to win (a prize or lottery), to hit a jackpot	[sound:dangdai-B4L05-II-26.mp3]		
B4L05-II-27	做夢	做梦	zuòmèng	V-sep	to dream	[sound:dangdai-B4L05-II-27.mp3]		
B4L05-II-28	發財	发财	fācái	Vp-sep	to strike it rich	[sound:dangdai-B4L05-II-28.mp3]		
B4L05-II-29	臉色	脸色	liǎnsè	N	countenance (mood shown on face)	[sound:dangdai-B4L05-II-29.mp3]		
B4L05-II-30	報導	报导	bàodǎo	N	report, article, story (news)	[sound:dangdai-B4L05-II-30.mp3]		
B4L05-II-31	指出	指出	zhǐchū	V	to indicate, point out	[sound:dangdai-B4L05-II-31.mp3]		
B4L05-II-32	創業	创业	chuàngyè	Vi	to set up a business	[sound:dangdai-B4L05-II-32.mp3]		
B4L05-II-33	餐飲業	餐饮业	cānyǐnyè	N	food and beverage industry	[sound:dangdai-B4L05-II-33.mp3]		
B4L05-II-34	人生	人生	rénshēng	N	life	[sound:dangdai-B4L05-II-34.mp3]		
B4L05-II-35	及	及	jí	Conj	and (formal)	[sound:dangdai-B4L05-II-35.mp3]		
B4L05-II-36	挑戰	挑战	tiǎozhàn	N	challenge	[sound:dangdai-B4L05-II-36.mp3]		
B4L05-II-37	培養	培养	péiyǎng	V	to cultivate, train, foster	[sound:dangdai-B4L05-II-37.mp3]		
B4L05-II-38	實力	实力	shílì	N	strength (not physical strength)	[sound:dangdai-B4L05-II-38.mp3]		
B4L05-II-39	等待	等待	děngdài	V	to wait for, await	[sound:dangdai-B4L05-II-39.mp3]		
B4L05-II-40	擁有	拥有	yǒngyǒu	Vst	to have as one's own, possess	[sound:dangdai-B4L05-II-40.mp3]		
B4L05-II-41	中國大陸	中国大陆	Zhōngguó Dàlù		Mainland China	[sound:dangdai-B4L05-II-41.mp3]		Name
B4L05-II-42	存不了	存不了	cúnbùliǎo	Ph	can't save (money)	[sound:dangdai-B4L05-II-42.mp3]		
B4L05-II-43	無殼蝸牛	无壳蜗牛	wúké guāniú	Ph	snails without shells (people who cannot afford to buy their own home)	[sound:dangdai-B4L05-II-43.mp3]		
B4L05-II-44	貧富不均	贫富不均	pínfù bùjūn	Ph	gap between the rich and the poor, unequal distribution of wealth	[sound:dangdai-B4L05-II-44.mp3]		
B4L05-II-45	苦哈哈	苦哈哈	kǔ hāhā	Ph	bitter life, very poorly	[sound:dangdai-B4L05-II-45.mp3]		
B4L05-II-46	另謀發展	另谋发展	lìngmóu fāzhǎn	Ph	to seek opportunities elsewhere	[sound:dangdai-B4L05-II-46.mp3]		
B4L05-II-47	恨不得	恨不得	hènbùdé	Ph	to be dying to, desperately	[sound:dangdai-B4L05-II-47.mp3]		
